,time,SOA,O2C
149,0.25,13.6141,0.38913000000000003
150,0.2517,13.7458,0.38904
151,0.2533,13.8769,0.38895
152,0.255,14.0076,0.38885
153,0.2567,14.1377,0.38876
154,0.2583,14.2673,0.38866999999999996
155,0.26,14.3964,0.38859
156,0.2617,14.5249,0.3885
157,0.2633,14.653,0.38841
158,0.265,14.7805,0.38833
159,0.2667,14.9075,0.38824000000000003
160,0.2683,15.034,0.38816
161,0.27,15.16,0.38808000000000004
162,0.2717,15.2854,0.388
163,0.2733,15.4104,0.38792
164,0.275,15.5348,0.38784
165,0.2767,15.6587,0.38777
166,0.2783,15.7821,0.38769000000000003
167,0.28,15.905,0.38761999999999996
168,0.2817,16.0274,0.38754
169,0.2833,16.1493,0.38747
170,0.285,16.2706,0.3874
171,0.2867,16.3915,0.38732
172,0.2883,16.5118,0.38725
173,0.29,16.6317,0.38718
174,0.2917,16.751,0.38711
175,0.2933,16.8699,0.38705
176,0.295,16.9882,0.38698
177,0.2967,17.1061,0.38691
178,0.2983,17.2234,0.38685
179,0.3,17.3403,0.38678
180,0.3017,17.4566,0.38672
181,0.3033,17.5725,0.38665
182,0.305,17.6879,0.38659
183,0.3067,17.8028,0.38653000000000004
184,0.3083,17.9172,0.38647
185,0.31,18.0312,0.38641
186,0.3117,18.1446,0.38635
187,0.3133,18.2576,0.38629
188,0.315,18.3701,0.38623
189,0.3167,18.4821,0.38616999999999996
190,0.3183,18.5936,0.38611
191,0.32,18.7047,0.38605
192,0.3217,18.8153,0.386
193,0.3233,18.9254,0.38594
194,0.325,19.0351,0.38589
195,0.3267,19.1443,0.38583
196,0.3283,19.2531,0.38578
197,0.33,19.3613,0.38572
198,0.3317,19.4692,0.38566999999999996
199,0.3333,19.5765,0.38561999999999996
200,0.335,19.6835,0.38556
201,0.3367,19.7899,0.38550999999999996
202,0.3383,19.8959,0.38545999999999997
203,0.34,20.0015,0.38541
204,0.3417,20.1066,0.38536
205,0.3433,20.2113,0.38531
206,0.345,20.3155,0.38526
